,year,url,batter,batter_hand,pitcher,pitcher_hand,event,type,x,y,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,py,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,spin_dir,spin_rate
46402,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_06/gid_2014_05_06_tormlb_phimlb_1/inning/inning_all.xml,407781,R,571800,R,Double,X,119.31,164.06,94.9,85.6,3.39,1.58,-9.68,9.78,-0.426,1.4,1.545,-2.603,50,5.439,9.298,-138.663,-8.069,-18.414,37.571,-13.495,23.7,45.6,4.8,Four seam fast ball,224.59,2744.288
46403,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_06/gid_2014_05_06_tormlb_phimlb_1/inning/inning_all.xml,407781,R,571800,R,Flyout,X,116.74,145.92,83.7,77.4,3.39,1.58,-0.22,-1.74,-0.574,1.4,2.313,-2.781,50,5.764,5.407,-122.688,-1.162,-0.339,25.089,-34.749,23.8,-1.1,9.3,Slider,352.502,307.12
46459,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_07/gid_2014_05_07_phimlb_tormlb_1/inning/inning_all.xml,407781,R,279824,L,Double,X,90.99,155.42,76.6,69.5,3.39,1.58,9.1,6.23,0.266,1.4,2.056,1.396,50,5.967,-5.064,-112.214,-3.037,11.337,24.579,-24.337,23.7,-22.4,8.8,Change-up,124.656,1781.847
46469,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_07/gid_2014_05_07_phimlb_tormlb_1/inning/inning_all.xml,407781,R,279824,L,Single,X,114.16,152.83,83.8,77.1,3.39,1.58,4.27,4.27,-0.425,1.4,2.129,0.989,50,5.928,-4.758,-122.79,-3.882,6.479,25.838,-25.632,23.8,-11.9,7.2,Four seam fast ball,135.278,1087.862
46514,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_08/gid_2014_05_08_phimlb_tormlb_1/inning/inning_all.xml,407781,R,285079,R,Single,X,96.14,144.2,83.4,76.7,3.4,1.58,-8.35,5.98,0.17,1.4,2.54,-0.43,50,5.73,4.05,-122.24,-2.9,-12.57,25.09,-23.09,23.8,26.4,7.1,Four seam fast ball,234.145,1840.637
46515,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_08/gid_2014_05_08_phimlb_tormlb_1/inning/inning_all.xml,407781,R,285079,R,Flyout,X,106.44,137.29,75.9,69.3,3.4,1.58,-1.7,-2.54,-0.17,1.4,2.86,-0.43,50,5.94,1.03,-111.28,1.37,-2.1,23.29,-35.22,23.7,3.1,11.6,Knuckle ball,325.418,482.344
46519,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_08/gid_2014_05_08_phimlb_tormlb_1/inning/inning_all.xml,407781,R,285079,R,Double,X,83.26,141.61,79.5,73.2,3.4,1.58,3.23,0.89,0.54,1.4,2.56,-0.55,50,5.9,1.54,-116.56,-0.94,4.41,23.6,-30.88,23.8,-8.6,9.4,Knuckle ball,106.353,572.039
46521,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_08/gid_2014_05_08_phimlb_tormlb_1/inning/inning_all.xml,407781,R,573186,R,Groundout,X,78.11,153.69,85.9,79.2,3.4,1.58,6.59,-4.18,0.68,1.4,2.09,-1.47,50,5.22,3.21,-126.02,0.07,10.5,27.81,-38.76,23.8,-16,10.3,Slider,57.902,1426.902
46600,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_09/gid_2014_05_09_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,448614,R,Double,X,71.24,178.73,91.5,85.3,3.4,1.58,1.74,2.26,0.808,1.4,1.179,-2.715,50,5.339,8.735,-133.794,-5.746,3.173,26.797,-27.971,23.9,-9.3,6.5,Cut-Fastball,142.951,571.038
46663,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_10/gid_2014_05_10_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,518716,R,Flyout,X,96.14,142.47,88.1,81.3,3.41,1.58,-6.3,7.02,0.173,1.4,2.686,-1.182,50,5.49,5.54,-129.041,-3.179,-10.64,26.497,-20.245,23.8,24.6,5.5,Four seam fast ball,221.73,1797.128
46665,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_10/gid_2014_05_10_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,518716,R,Flyout,X,117.6,139.88,88.5,81.5,3.41,1.58,-7.2,4.73,-0.53,1.4,2.713,-1.503,50,5.499,4.881,-129.704,-2.432,-12.243,27.432,-24.054,23.8,24.6,6.4,Two-seam fastball,236.446,1643.237
46672,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_10/gid_2014_05_10_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,150035,R,Forceout,X,109.87,137.29,94.6,86.7,3.41,1.58,-9.5,1.41,-0.315,1.4,2.934,-1.939,50,6.079,7.787,-138.54,-3.184,-18.328,33.153,-29.39,23.8,28.8,7.2,Sinker,261.363,1941.313
46755,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_11/gid_2014_05_11_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,477003,L,Single,X,95.28,132.97,91.3,83.2,3.41,1.57,5.99,7.7,0.029,1.4,3.037,1.075,50,5.688,-4.789,-133.835,-3.484,10.726,32.228,-18.31,23.7,-26.6,4.9,Four seam fast ball,142.273,1900.132
46758,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_11/gid_2014_05_11_phimlb_nynmlb_1/inning/inning_all.xml,407781,R,477003,L,Double,X,101.29,158.01,87.9,80.9,3.41,1.57,8.98,2.96,-0.102,1.4,2.028,1.155,50,5.374,-6.149,-128.69,-3.141,15.015,27.36,-27.153,23.8,-26.4,7.5,Two-seam fastball,108.49,1784.845
46871,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_13/gid_2014_05_13_anamlb_phimlb_1/inning/inning_all.xml,407781,R,533167,R,Groundout,X,78.11,159.74,77.1,70.6,3.41,1.57,5.56,-2.16,0.706,1.4,1.915,-1.911,50,6.283,4.194,-113.005,-1.781,7.038,24.676,-34.836,23.8,-12.5,11.6,Knuckle curve,69.281,966.025
46876,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_13/gid_2014_05_13_anamlb_phimlb_1/inning/inning_all.xml,407781,R,533167,R,Flyout,X,93.56,150.24,91.3,84.1,3.41,1.57,-1.87,8.7,0.246,1.4,2.108,-1.62,50,6.179,5.56,-133.619,-7.623,-3.374,29.145,-16.4,23.8,7,4.1,Four seam fast ball,192.072,1751.419
46883,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_13/gid_2014_05_13_anamlb_phimlb_1/inning/inning_all.xml,407781,R,543409,R,Double Play,X,76.39,150.24,82.1,76,3.41,1.57,4.99,-1.92,0.683,1.4,2.19,-2.063,50,5.822,4.977,-120.376,-1.254,7.287,24.513,-34.901,23.8,-13.1,10,Slider,69.482,937.718
46954,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_14/gid_2014_05_14_anamlb_phimlb_1/inning/inning_all.xml,407781,R,572070,R,Flyout,X,104.72,158.88,86.7,79,3.41,1.57,1.41,-5.2,-0.155,1.4,2.044,-1.671,50,6.151,3.315,-127.12,-2.073,2.251,31.872,-40.402,23.7,-4.2,10.5,Slider,15.299,973.544
46980,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_14/gid_2014_05_14_anamlb_phimlb_1/inning/inning_all.xml,407781,R,572070,R,Flyout,X,151.93,149.38,96.1,88.3,3.41,1.57,-9.62,3.89,-1.592,1.4,2.359,-1.963,50,5.936,4.493,-140.766,-5.536,-19.208,33.361,-24.323,23.8,35.4,6.4,Two-seam fastball,247.768,2138.623
46989,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_14/gid_2014_05_14_anamlb_phimlb_1/inning/inning_all.xml,407781,R,501925,R,Flyout,X,94.42,141.61,88.2,80.7,3.41,1.57,-10.57,-1.19,0.018,1.4,2.592,-2.787,50,3.891,10.604,-128.847,3.417,-17.685,27.998,-34.092,23.7,24.8,8.9,Sinker,276.19,2002.96
47084,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_16/gid_2014_05_16_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,430580,R,Flyout,X,109.01,129.52,85.5,79.3,3.41,1.58,-0.54,1.26,-0.36,1.4,3.164,-2.899,50,6.022,6.464,-125.296,-1.005,-0.867,24.596,-30.093,23.8,-0.6,7.7,Split finger fastball,202.616,261.032
47090,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_16/gid_2014_05_16_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,430580,R,Flyout,X,92.7,157.15,87,80.2,3.41,1.58,-0.41,3.89,0.254,1.4,1.985,-2.478,50,6.223,6.981,-127.298,-5.488,-0.665,27.523,-25.758,23.8,-1.5,6.7,Cut-Fastball,185.916,735.132
47091,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_16/gid_2014_05_16_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,547973,L,Lineout,X,132.19,127.79,99.3,89.5,3.33,1.56,0.49,11.64,-0.818,1.4,2.992,0.304,50,6.416,-3.369,-145.33,-8.363,1.025,41.277,-7.776,23.7,-0.5,2,Four seam fast ball,177.596,2437.722
47149,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_17/gid_2014_05_17_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,456701,R,Groundout,X,89.27,145.92,84.4,77.1,3.39,1.57,0.94,-0.66,0.336,1.4,2.361,-2.417,50,6.277,6.373,-123.603,-2.651,1.427,28.789,-33.095,23.7,-4.7,9.1,Slider,57.161,199.349
47151,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_17/gid_2014_05_17_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,456701,R,Double,X,105.58,170.1,83.7,77.1,3.39,1.57,0.35,-1.07,-0.429,1.4,1.423,-2.43,50,6.153,4.712,-122.56,-4.398,0.526,26.629,-33.707,23.8,-2.3,9.3,Slider,18.937,191.851
47154,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_17/gid_2014_05_17_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,446185,R,Groundout,X,90.13,184.78,93,85.3,3.39,1.57,-1.31,10.35,0.311,1.4,0.95,-0.766,50,6.716,3.332,-135.698,-12.98,-2.431,31.574,-12.937,23.8,6.1,3.5,Four seam fast ball,187.201,2073.034
47155,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_17/gid_2014_05_17_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,445156,L,Forceout,X,59.23,158.88,88.8,80.1,3.39,1.57,7.56,9.13,1.186,1.4,1.917,2.315,50,6.31,-5.344,-129.884,-7.81,12.582,33.767,-16.901,23.7,-30.8,5.4,Two-seam fastball,140.519,2210.304
47158,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_17/gid_2014_05_17_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,459967,R,Single,X,71.24,157.15,75.1,69.4,3.39,1.57,2.53,-5.09,0.87,1.4,1.995,-2.116,50,6.232,5.741,-110.017,-0.298,3.055,21.933,-38.256,23.8,-6,12.9,Knuckle curve,26.669,897.52
47243,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_18/gid_2014_05_18_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,571561,L,Home Run,X,77.25,155.42,86.1,78.7,3.4,1.57,4.55,5.98,0.637,1.4,2.143,2.593,50,5.726,-6.304,-126.03,-4.311,7.233,28.353,-22.591,23.7,-14,6.2,Change-up,142.957,1382.089
47245,2014,http://gd2.mlb.com/components/game/mlb/year_2014/month_05/day_18/gid_2014_05_18_cinmlb_phimlb_1/inning/inning_all.xml,407781,R,448159,L,Single,X,104.72,128.65,93.7,86.4,3.4,1.57,3.37,10.1,-0.219,1.4,3.236,1.945,50,6.264,-7.049,-137.139,-5.835,6.426,29.859,-12.836,23.8,-19.3,3.2,Four seam fast ball,161.62,2155.743
